题型,题面,A,B,C,D,正确答案,来源
选择题,"1978年党的十一届三中全会作出改革开放的伟大决策，中国人民坚持聚精会神搞建设，坚持改革开放不动摇，推动中国发生了翻天覆地的变化，由此可见（）①中国共产党是我国改革开放的领导核心 ②全面深化改革是党的奋斗目标③坚持改革开放标志着我国进入了新时代④我国人民要坚持走改革开放的强国之路",①②,①④,②③,③④,B,2025-2026学年第一学期上海外国语大学附属龙岗学校九年级12月学科素养测试T1
选择题,"中共中央发布的2025年中央一号文件强调“深化快递进村，加强村级寄递物流综合服务站建设”。快递进村，是打通工业品下行“最后一公里”和农产品出村“最初一公里”的重要一环，关系着亿万农民的获得感、幸福感。快递进村的意义有（） ①进一步满足人民日益增长的美好生活需要 ②推动乡村振兴战略，农村日益呈现新面貌 ③能够发挥村委会作为基层自治机关的作用 ④证明了我国已成为影响世界的重要力量",①②,①④,②③,③④,A,2025-2026学年第一学期上海外国语大学附属龙岗学校九年级12月学科素养测试T2
选择题,为人工智能单独立法的行动一直在进行。2023年、2024年，人工智能法草案两次被列入国务院年度立法工作计划；2025年全国人大常委会工作报告提出，将围绕人工智能、数字经济、大数据等新兴领域加强立法研究。由此可见（）,良法之治是全面推进依法治国的总目标,我国不断完善中国特色社会主义法律体系,国务院作为国家立法机关，行使最高立法权,实现有法可依，就能保证人工智能规范使用,B,2025-2026学年第一学期上海外国语大学附属龙岗学校九年级12月学科素养测试T3
选择题,从蓝图到实景，深圳低空经济蓬勃发展。关于低空经济发展带来的影响，以下推导正确的是（）,部署“无人机AED”→缩短黄金救援时间→提升应急救援效率→体现生命至上原则,开通“空中出租车”→缓解地面交通拥堵→重构立体交通网络→贯彻开放新发展理念,发展低空高端制造业→全盘放弃传统行业→促进产业优化升级→培育发展新质生产力,引入无人机外卖配送→提高外卖配送效率→增加外卖小哥收入→提高社会劳动就业率,A,2025-2026学年第一学期上海外国语大学附属龙岗学校九年级12月学科素养测试T4
选择题,,,,,,A,2025-2026学年第一学期上海外国语大学附属龙岗学校九年级12月学科素养测试T5
选择题,,,,,,D,2025-2026学年第一学期上海外国语大学附属龙岗学校九年级12月学科素养测试T6
选择题,,,,,,A,2025-2026学年第一学期上海外国语大学附属龙岗学校九年级12月学科素养测试T7
选择题,,,,,,D,2025-2026学年第一学期上海外国语大学附属龙岗学校九年级12月学科素养测试T8
选择题,,,,,,A,2025-2026学年第一学期上海外国语大学附属龙岗学校九年级12月学科素养测试T9
选择题,,,,,,D,2025-2026学年第一学期上海外国语大学附属龙岗学校九年级12月学科素养测试T10


